Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	2.2	3.1	5.3	0.4	0.7	2.4	1.5	3.2	7.1	51.28205128	44.64285714	0	1	6	1
0	2.3	4.5	6.8	0.8	0.8	2.3	1.5	2.9	5.7	62.5	45	0	4	9	1
0	2.1	2.8	4.9	0.5	0.5	2.1	1.4	3.7	5.1	50	41.66666667	0	1	3	1
0	2	3.3	5.3	0.5	0.5	2.2	1.1	3.3	4.7	41.66666667	56.25	0	3	1	1
0	2.8	5.4	8.2	2.6	0.9	0.7	1.8	2.2	12.3	72.09302326	49.42528736	44.44444444	4	9	1
0	1.7	5.3	6.9	1.9	0.8	1.3	2.2	2.8	12.3	72.4137931	55.29411765	31.81818182	3	4	1
0	2.3	5.2	7.5	1.2	0.7	1.3	1.9	2.5	11.9	59.45945946	54.02298851	50	3	9	1
0	2.5	5.4	7.9	1.3	1.8	0.9	2.2	3	12.4	64.58333333	54.02298851	0	1	4	1
0	3.6	5.2	8.8	1.3	0.4	0.7	1.7	2.7	12.9	61.70212766	49.01960784	0	2	1	1
0	2.8	5.8	8.5	0.9	0.5	1.2	1.5	3.1	12.5	66.66666667	61.03896104	0	1	2	1
0	1.7	4.6	6.3	2.5	1.6	0.7	2.1	2.3	12.1	78.125	47.77777778	37.03703704	3	9	1
0	1.6	5.1	6.8	3	1.2	0.7	2.5	3.1	12.4	77.41935484	45.36082474	36.11111111	2	9	1
0	1.3	5.9	7.2	3.2	0.7	2	2.7	2.8	12.3	73.33333333	52.94117647	37.93103448	3	9	1
0	1.7	4.7	6.4	3.1	0.9	0.4	2.1	1.6	11.3	71.15384615	37.89473684	25	4	7	1
0	3.5	4.5	8	1	1	0.3	1.2	2.8	12.6	67.5	51.06382979	33.33333333	4	9	1
0	2.1	4.9	7	0.4	0.3	0.8	1.4	2.4	12.1	65.90909091	52.3255814	50	3	2	2
0	1.9	5.6	7.6	4.1	1.2	1.6	2.6	2.8	12.2	55.31914894	41.28440367	29.41176471	4	3	1
0	3.3	4.9	8.2	0.7	0.6	1	1.7	3.2	12.6	48.93617021	53.68421053	0	4	2	3
0	2.2	4.6	6.8	1	0.7	1.3	1.8	3	11.4	73.33333333	44.08602151	34.48275862	2	6	1
0	2.4	4.3	6.7	0.9	0.9	1	1	2.4	11.1	79.41176471	53.84615385	33.33333333	2	1	1
0	2.4	5.9	8.4	1.9	0.9	0.3	1.5	2.4	11.7	77.77777778	43.61702128	35	2	9	1
0	2.7	5.3	8.1	1.4	0.8	1.5	1.2	2.8	11.3	54.16666667	66.66666667	33.33333333	3	9	1
0	1.4	4.9	6.4	1.1	0.7	1.2	1.4	1.8	11.8	77.77777778	45.74468085	32.35294118	2	4	1
0	1.8	4.8	6.6	1.6	0.6	0.5	1.6	2	11.4	66.66666667	43.15789474	35.55555556	4	9	1
0	1.9	4.1	6	2	0.9	0.9	2	2.5	12.1	60	50.51546392	23.07692308	3	9	1
0	2.8	5.2	8	0.8	0.4	0.7	1.7	2.3	11.7	59.52380952	56.09756098	0	3	9	1
0	2.6	5.6	8.3	1.6	1.2	0.5	2.2	2.2	11.3	66.66666667	43.15789474	30.76923077	2	8	1
0	2.8	4.2	7	1.2	0.8	0.7	1.3	2.3	12.7	59.01639344	57.5	0	4	9	1
0	1.9	4.6	6.5	1.2	0.3	0.5	1.4	2.1	12.2	69.76744186	50	0	4	9	1
0	2.5	6.5	9	1.9	0.4	0.5	1.7	2.2	10.2	58.33333333	54.16666667	37.5	4	5	1
0	2.3	6.1	8.5	1.1	0.9	0.5	1.8	2.4	10.7	78.94736842	46.06741573	34.48275862	4	9	1
0	1.8	4.5	6.3	1.1	1.1	1.8	1.3	2.7	10.1	76	47.22222222	39.39393939	1	1	2
0	2.9	5.3	8.2	1.3	0.7	1.2	1.1	2.1	10.7	75.86206897	56	50	4	4	2
0	1.7	5.5	7.2	1.2	0.7	0.6	1.7	2.7	12.4	62.85714286	41.07142857	30.3030303	3	9	1
0	2.2	5	7.2	1	0.6	0.8	1.8	2.4	12.4	73.46938776	36.28318584	22.22222222	3	9	1
0	2.1	5.5	7.5	1.7	0.8	1.5	1.4	2.5	10	69.23076923	62.12121212	0	4	6	1
0	2.1	5	7.1	1.5	0.7	0.7	1.8	3	11.9	67.74193548	45.74468085	34.28571429	3	7	1
0	2.9	5	7.8	0.6	0.8	1	1.4	2.4	10.7	73.33333333	53.84615385	0	4	6	1
0	3.8	5.9	9.7	0.6	0.6	0.4	1.7	2.7	10.1	61.53846154	51.80722892	0	4	1	2
0	2.1	5.3	7.3	1.3	1.3	0.5	2.5	3.2	11.6	70.27027027	46.23655914	30.76923077	1	9	1
0	2.8	5.2	8	0.7	1	1	1.8	3.3	11.6	60.46511628	46.31578947	23.07692308	1	4	1
0	4	5	9	0.5	0.9	0.8	1.2	2.4	11.2	63.04347826	51.85185185	0	4	5	1
0	3.1	4.9	8	1	0.4	0.2	1.2	2.3	10.9	67.5	45.34883721	20	3	7	1
0	3.3	5.6	8.8	0.9	0.5	1.7	1.5	2.3	11.1	52.77777778	60.52631579	0	4	5	1
0	1.8	5.3	7.1	0.4	0.8	1	1.8	2	12.2	76.36363636	43.95604396	16.66666667	4	9	1
0	1.6	6.7	8.3	1.8	0.4	0.2	2.6	2.2	10.2	71.42857143	45.78313253	28.57142857	1	4	1
0	3.5	5	8.5	0.8	0.8	0.7	1.3	1.8	11.6	65.85365854	55	100	4	8	1
0	2.8	5.5	8.3	0.8	0.6	0.6	1.9	3	11.2	69.09090909	44.57831325	0	4	9	1
0	1.5	5	6.5	1	0.2	0.6	1.1	3	10.1	70.58823529	44.04761905	35.55555556	3	9	1
0	2.9	4.5	7.4	2.2	0.7	1.4	1.6	2.7	11.9	72.97297297	54.76190476	0	3	8	1
0	2.6	4.7	7.4	0.4	0.8	0.4	1.3	2.3	10.4	73.80952381	50.74626866	35.29411765	3	9	1
