Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	2.3	6.4	8.7	1.1	0.4	2.7	1.8	2.6	13.3	68.42105263	49.52380952	22.22222222	3	7	1
0	1.4	2.6	4	1.9	0.6	0.5	1.4	3.3	13.2	82.05128205	49	16.66666667	4	9	1
0	2.7	4.6	7.3	0.9	0.8	0.7	2.6	2.8	13.5	70.58823529	50.90909091	0	4	1	1
0	1.9	6.3	8.3	0.9	0.2	1.1	1.9	3.1	14.1	78.125	48.33333333	0	4	7	1
0	2.1	3.4	5.5	1.4	0.4	3.1	1.8	2.4	11.2	67.56756757	44.56521739	29.41176471	2	5	1
0	3.3	4.9	8.2	0.4	0.5	2.2	1.6	2.9	11.2	61.40350877	54.28571429	0	2	5	2
0	2.2	6.1	8.2	0.5	0.4	4	1.5	3	11.5	69.3877551	54.05405405	0	4	2	1
0	2.6	4.2	6.9	0.6	0.4	2.4	1.6	3.4	11.1	62.96296296	61.03896104	0	4	9	1
0	2.5	5.3	7.8	1.5	1.2	2.4	1.5	2.5	10.9	60	57.69230769	0	4	1	2
0	3.6	6	9.7	0.6	0.8	2	2	2.8	12.8	75	55.68181818	0	4	9	1
0	2.7	3.2	5.9	0.7	0.7	3.6	1.4	3.1	10.1	51.11111111	55.71428571	0	4	9	1
0	3.2	6.7	9.9	1.1	0.9	3.6	2.1	3	11.6	70.58823529	56.09756098	0	4	9	1
0	2.7	5.2	7.8	1.4	0.1	3.4	2.1	2.8	10.4	53.84615385	65.625	0	2	9	1
116	2.3	5.8	8.1	1.4	0.9	2.6	2.4	3.4	11.2	68.62745098	62.29508197	0	1	5	3
0	1.8	4.2	6	0.4	0.2	2.3	1.5	3.3	8.2	65.71428571	56.8627451	0	4	2	2
0	2.5	3.5	6	0.4	0.3	2.1	1.1	3.1	6.9	76.92307692	41.42857143	14.28571429	3	4	1
0	2.8	3.2	6	0.4	0.3	2.1	1.4	3.5	6	66.66666667	57.5	0	4	3	1
0	2.1	3.9	6	0.7	0.8	2.6	1.6	3.4	4.2	61.53846154	50	0	4	9	1
0	1.8	3.1	4.9	0.4	0.4	2.1	2.2	3.3	4.5	75	55.17241379	0	4	9	1
0	2	3.3	5.3	0.1	0.2	2.9	0.7	3.1	4.2	64.28571429	45.71428571	0	4	9	1
0	2.6	3.6	6.2	0.8	0.6	1.1	1.3	2.6	11	59.45945946	54.32098765	0	4	3	3
0	1.8	5.4	7.2	3	1	1.8	3	3.5	12.2	71.05263158	58.02469136	0	4	9	1
0	1.8	6.4	8.3	2.4	0.4	1.7	2.3	2.4	11.9	66.66666667	57.33333333	0	4	9	1
0	1.8	6.6	8.3	1.6	0.8	1.2	1.4	3	11.8	71.42857143	46.23655914	30	4	9	1
0	2	5.1	7.1	0.7	0.3	1.7	1.9	2.9	10.4	50	59.70149254	0	2	9	1
0	4.3	6.6	10.9	0.2	0.5	0.8	1.9	3.1	9.6	61.70212766	51.51515152	0	4	9	1
0	2.8	5	7.9	0.9	0.6	0.6	1.9	3.2	11.2	65.11627907	62.68656716	0	4	6	1
