Rank	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS	FTPER	FGPER	THRPER	YEAR	CONF	SCHRANK
0	0.6	3.2	3.8	2.3	0.9	0.3	2.2	3.3	16.2	74.13793103	40.83333333	33.33333333	2	9	1
0	0.8	3.2	4	1.6	1.1	0.5	2.1	2.2	17.2	83.01886792	42.1875	32.78688525	4	9	1
0	1.1	3	4.1	1.3	1.2	0	1.6	2	16.2	79.41176471	43.24324324	30.23255814	4	9	1
0	0.3	3.5	3.8	5.2	0.7	0	2	1.3	16.1	83.33333333	38.28125	37.09677419	3	2	3
0	0.3	2.8	3	2.5	0.9	0.3	2.9	2.3	14.7	77.77777778	39.44954128	28.88888889	3	1	1
0	0.9	2.6	3.5	1.4	1.3	0	1.4	2.4	16.1	85.29411765	42.74193548	40.32258065	3	4	1
0	0.7	3.6	4.3	3.3	1.2	0.1	2.6	2.7	15.1	74.64788732	40.36697248	31.03448276	4	7	1
0	0.6	2.6	3.2	4.3	1.6	0.1	2.8	2.4	16	76.59574468	35	32.53012048	3	9	1
0	1.4	4.7	6.1	2.2	0.9	0.3	1.6	2.3	15.1	77.77777778	42.37288136	39.65517241	2	6	1
0	1.3	3.4	4.8	2.1	1	0.4	2.7	3.2	17	76	50.41322314	33.33333333	3	9	1
0	2.4	5.4	7.8	5	2.5	0.5	2.3	2.7	16	65.78947368	48.48484848	31.81818182	4	2	1
0	0.3	3.8	4.1	5.3	1.2	0.7	2.6	2.6	14.2	70.58823529	46.66666667	28	4	9	1
0	0.6	2.6	3.2	2.2	0.9	0.3	2.1	2.1	15	73.91304348	42.27642276	42.02898551	4	2	3
0	0.4	2.7	3.1	2	1.4	0.4	1.9	1.7	18.9	80.35714286	41.54929577	32.91139241	1	9	1
0	1.9	3.9	5.8	2.3	0.7	0	2.3	2.2	15.9	70.49180328	42.74193548	26.31578947	3	9	1
0	2.4	3.7	6.2	2.1	1	0.6	2.1	2.9	13.4	72.22222222	51.11111111	25	4	7	1
0	0.4	3.2	3.6	2.6	0.8	0.1	2.2	2.6	15.4	81.63265306	41.22807018	35.71428571	4	9	1
0	2.5	4.5	6.9	2	0.7	0.3	1.6	2.6	16.9	72.34042553	49.57983193	44.73684211	4	9	1
