Player,Class,Season,Pos,School,Conf,G,MP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
Darius Morris\darius-morris-1,SO,2010-11,G,Michigan,Big Ten,35,34.8,0.9,3.1,4,6.7,1,0,2.9,2.1,15,72.09302326,48.71794872,27.77777778
Tim Abromaitis\tim-abromaitis-1,SR,2010-11,F,Notre Dame,Big East,34,34.2,1.3,4.7,6.1,1.8,0.8,0.4,1.5,1.9,15.4,78.04878049,45.87155963,42.59259259
Lenny Daniel\lenny-daniel-1,SR,2010-11,F,Cal State Northridge,Big West,32,28.5,3.6,5.8,9.4,0.7,0.4,1.2,2.7,2.9,16.3,57.8313253,56.31067961,0
Hillary Haley\hillary-haley-1,JR,2010-11,G,Maryland-Eastern Shore,MEAC,31,29.8,1.9,3.9,5.8,0.7,0.7,0.2,1.6,2.2,16.8,72.4137931,41.04477612,30.76923077
Tobias Harris\tobias-harris-1,FR,2010-11,F,Tennessee,SEC,34,29.2,2,5.3,7.3,1.3,0.7,0.9,1.8,2.1,15.3,76,45.76271186,31.81818182
Bill Clark\bill-clark-1,SR,2010-11,G-F,Duquesne,A-10,32,31,2.1,4.1,6.2,2.5,1.5,0.5,2,3.1,16.3,74.50980392,46.78899083,37.09677419
Jeremy Green\jeremy-green-1,JR,2010-11,G,Stanford,Pac-10,31,32.6,0.6,2.8,3.4,1,0.5,0.1,2.1,2.4,16.7,77.14285714,42.42424242,42.42424242
Markieff Morris\markieff-morris-1,JR,2010-11,C,Kansas,Big 12,38,24.4,2.7,5.6,8.3,1.4,0.8,1.1,2.1,2.8,13.6,67.5,58.62068966,43.75
Justin Robinson\justin-robinson-1,SR,2010-11,G,Rider,MAAC,34,33.6,0.4,2.5,2.9,3.8,1,0.1,2.6,2,15.2,90.625,42.10526316,42.62295082
Frank Hassell\frank-hassell-1,SR,2010-11,F,Old Dominion,CAA,34,29.3,3.7,5.7,9.4,1.1,0.9,1.3,2.1,1.8,15.1,73.46938776,56.31067961,0
Corey Fisher\corey-fisher-1,SR,2010-11,G,Villanova,Big East,33,33.4,0.6,2.2,2.8,4.8,1.5,0.1,2.3,2.4,15.6,78.43137255,42.01680672,33.33333333
Austin Kenon\austin-kenon-1,SR,2010-11,G,Virginia Military Institute,Big South,28,30,1,2.5,3.5,3.3,1,0,2,2.2,18.4,86,43.90243902,41.7721519
Amu Saaka\amu-saaka-1,SR,2010-11,F,Furman,Southern,33,31.6,2.1,4.4,6.5,1.1,0.7,0.3,1.8,2.5,15.6,86.66666667,46.36363636,35.71428571
Zach Filzen\zach-filzen-1,JR,2010-11,G,Buffalo,MAC,34,33.8,0.3,2.7,2.9,1.1,0.8,0,1.7,1.2,15.1,87.5,41.6,40.50632911
Cameron Long\cameron-long-1,SR,2010-11,G,George Mason,CAA,34,33,1.2,3.5,4.7,2.9,1.4,0.2,2,1.6,15.1,74.28571429,47.74774775,43.90243902
Troy Gillenwater\troy-gillenwater-1,JR,2010-11,F,New Mexico State,WAC,27,30.3,1.5,4.8,6.3,0.6,0.4,1,2.3,2.2,18.9,74.6031746,45.71428571,36.84210526
Matt Lander\matt-lander-1,SR,2010-11,G,Western Illinois,Summit,30,36.2,0.3,2.1,2.3,2.7,0.9,0.2,3.1,2.2,17,76.38888889,41.12903226,34.14634146
Jay Couisnard\jay-couisnard-2,SR,2010-11,F,Missouri-Kansas City,Summit,29,33.5,1.8,3.7,5.6,1.6,1.3,0.6,3.2,3.1,17.6,62.68656716,48.76033058,38.0952381
Kendall Timmons\kendall-timmons-1,SO,2010-11,G,Tulane,CUSA,30,36.1,2.1,6.2,8.3,3.3,1.9,0.6,2.9,2.7,17,64.28571429,44.6969697,36.84210526
Tyler Murray\tyler-murray-1,JR,2010-11,G,Wagner,NEC,30,37.1,0.8,3.8,4.6,3.6,1.3,0.3,3.2,1.7,16.9,83.33333333,43.69747899,42.55319149
Mike Williams\mike-williams-8,SR,2010-11,G,Western Carolina,Southern,33,31.5,1,2.5,3.5,3.8,2,0.2,2.8,3.1,15.4,78.57142857,40,34.69387755
Jared Mintz\jared-mintz-1,SR,2010-11,F,Lafayette,Patriot,32,30.3,2.1,3.7,5.8,2.2,0.6,0.2,1.9,2.6,15.8,81.25,51.45631068,25
Ben Drayton\ben-drayton-1,JR,2010-11,G,Georgia Southern,Southern,32,37,1.1,2.5,3.6,4.6,1.9,0,3.5,2.3,15.8,72,48.33333333,25
Joe Trapani\joe-trapani-1,SR,2010-11,F,Boston College,ACC,34,29.9,1.8,5.2,7,1.8,0.7,0.8,1.9,2.5,14.8,70.45454545,42.5,36.58536585
Tai Wesley\tai-wesley-1,SR,2010-11,F,Utah State,WAC,34,29.2,2.8,5.1,8,2.1,0.8,1.1,2.2,3.2,14.8,71.66666667,60.46511628,50
Rahmon Fletcher\rahmon-fletcher-1,SR,2010-11,G,Green Bay,Horizon,32,31.5,0.5,1.9,2.4,3.1,1.5,0.1,2.1,2.5,15.7,70.58823529,45.66929134,37.20930233
Sergio Kerusch\sergio-kerusch-1,SR,2010-11,F,Western Kentucky,Sun Belt,32,31,3.2,4.8,7.9,0.5,0.4,0.4,1.4,2.8,15.6,63.63636364,48.38709677,29.78723404
Demetri McCamey\demetri-mccamey-1,SR,2010-11,G,Illinois,Big Ten,34,33.4,0.5,2.9,3.4,6.1,1,0.2,2.9,2,14.6,72.97297297,45.37037037,45.83333333
Preston Knowles\preston-knowles-1,SR,2010-11,G,Louisville,Big East,34,30.1,0.6,3.3,3.9,3.1,1.9,0.2,2,2.7,14.6,80.95238095,38.16793893,37.66233766
Devon Baker\devon-baker-1,SR,2010-11,G,Northwestern State,Southland,32,27.3,0.8,1.7,2.4,2,1.5,0,2.2,2.4,15.5,76.78571429,40.17857143,41.17647059
