Rk,Player,Class,Season,Pos,School,Conf,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTPER,FGPER,3PPER
121,Damyean Dotson\damyean-dotson-1,SR,2016-17,G,Houston,AAC,33.1,6.3,12.6,2.9,5.5,3.4,7.1,1.3,1.5,1.8,5.2,7,1.2,0.9,0.1,1.1,1.6,17.3,86.66666667,50,47.88732394
122,MaCio Teague\macio-teague-1,FR,2016-17,G,North Carolina-Asheville,Big South,34,5.4,11.2,3.2,6.5,2.2,4.7,3.1,3.5,0.6,3.9,4.5,2.8,1.1,0.1,0.9,1.4,16,88.57142857,48.21428571,46.80851064
123,Melo Trimble\melo-trimble-1,JR,2016-17,G,Maryland,Big Ten,31.6,5.4,12.1,3.5,6.8,1.8,5.3,4.6,5.6,0.2,3.3,3.5,3.5,1.2,0.1,3,1.8,17.2,82.14285714,44.62809917,33.96226415
124,Rodney Williams\rodney-williams-5,SR,2016-17,F,Drexel,CAA,30.7,6,11.5,5.9,11.1,0.1,0.4,4.4,6.4,2.7,4.1,6.8,1.5,0.5,0.8,2.3,3.3,16.6,68.75,52.17391304,25
125,Trevon Bluiett\trevon-bluiett-1,JR,2016-17,G,Xavier,Big East,33.8,5.8,13,3.2,6.4,2.5,6.6,3.8,5,0.7,5,5.8,2,0.9,0.1,2.1,2.5,17.9,76,44.61538462,37.87878788
126,Darell Combs\darell-combs-1,SR,2016-17,G,IUPUI,Summit,32.3,5.8,14,3.9,8.3,1.9,5.7,3,4,0.5,1.7,2.2,2.9,0.7,0.1,2.6,2.5,16.6,75,41.42857143,33.33333333
127,Jawun Evans\jawun-evans-1,SO,2016-17,G,Oklahoma State,Big 12,28.2,6.2,14.2,5.2,11.6,1,2.5,4.6,5.8,0.8,2.4,3.2,5.7,1.9,0.2,2.8,2.4,17.9,79.31034483,43.66197183,40
128,Bryson Scott\bryson-scott-1,JR,2016-17,G,IPFW,Summit,28.1,6,12.4,4.1,7.1,1.8,5.3,2.8,3.9,0.8,4.1,4.9,2.3,1.8,0.1,2.5,1.7,16.5,71.79487179,48.38709677,33.96226415
129,Garret Covington\garret-covington-1,SR,2016-17,G,Western Illinois,Summit,33.6,5.9,14.2,3.1,6.6,2.8,7.5,4,4.5,0.4,3.4,3.8,2.8,0.8,0.1,2.7,1.7,18.5,88.88888889,41.54929577,37.33333333
130,Quinton Hooker\quinton-hooker-1,SR,2016-17,G,North Dakota,Big Sky,35.2,6.2,12.8,3.5,7.1,2.7,5.7,4.2,4.7,0.7,4,4.8,3.5,1.6,0.1,1.7,2.2,19.3,89.36170213,48.4375,47.36842105
